id,in_temperature,out_temperature,roll_gap_ratio,deformation_resistance,lever_arm_coefficient,rolling_efficiency,roll_force,roll_torque,filling_ratio,strain_rate,contact_area,contact_length
0,1373.15,1370.2639119743442,0.78,1.011e+08,0.64,0.76,1725918.9659177463,88577.95006162362,0.9315989994611549,0.6305346233535806,0.01707135091866029,0.10264439039236452
1,1370.2639119743442,1364.535575377453,,,,,,,,,,
2,1364.535575377453,1363.6747033961044,0.80,1.062e+08,0.64,0.76,1443891.9420329968,78254.50458612746,0.9532819135158361,0.8052914846839125,0.013601181849775398,0.10839385179467832
3,1363.6747033961044,1358.9228450434682,,,,,,,,,,
4,1358.9228450434682,1358.7841722770431,1.04,1.088e+08,0.58,0.80,1455675.2129985844,73370.59730407897,0.9397150037356343,1.2400255226370274,0.013384812265255367,0.10080627415911124
5,1358.7841722770431,1355.0031158974175,,,,,,,,,,
6,1355.0031158974175,1356.0296065011182,0.86,1.162e+08,0.63,0.77,1008216.3308504594,44401.74815667434,0.880951371138603,1.4302077834163278,0.008676924793190616,0.08807980350649584
7,1356.0296065011182,1352.4850556067408,,,,,,,,,,
8,1352.4850556067408,1355.3119484854442,1.09,1.197e+08,0.57,0.80,1013301.8812276301,45911.46654338308,0.9951673767685406,2.4380931420629857,0.008465341434820849,0.09061754921003536
9,1355.3119484854442,1352.1478592406331,,,,,,,,,,
10,1352.1478592406331,1354.461765891763,1.09,1.207e+08,0.57,0.80,788904.7961727073,35951.49117533667,0.8441269283797743,2.3970438322084404,0.0065359611018031135,0.0911427876969483
11,1354.461765891763,1350.825785725892,,,,,,,,,,
12,1350.825785725892,1354.7195949233499,1.02,1.318e+08,0.59,0.80,638870.514229042,21715.91557395064,0.9656944567880648,4.462084205640548,0.004847973488094501,0.0679822126402448
13,1354.7195949233499,1351.4708658978693,,,,,,,,,,
14,1351.4708658978693,1355.0019552169479,1.32,1.304e+08,0.53,0.81,639193.1023142082,25684.57344982912,0.9282818541939234,4.485161454574322,0.004903393721318511,0.08036561520090796
15,1355.0019552169479,1346.5792460916061,,,,,,,,,,
16,1346.5792460916061,1352.7786573656317,1.38,1.435e+08,0.52,0.80,560711.4776048412,19200.528172881022,0.8957311507738959,8.953400952684873,0.0039079060701165454,0.06848630334766397
17,1352.7786573656317,1348.8480123220488,,,,,,,,,,
18,1348.8480123220488,1353.0896355176833,1.43,1.422e+08,0.51,0.80,448759.2904738088,15665.17874633421,0.8958012374968716,7.786683396140496,0.003155713308477676,0.0698155072390573
19,1353.0896355176833,1349.7787614889685,,,,,,,,,,
20,1349.7787614889685,1357.6624067784544,1.73,1.586e+08,0.46,0.78,461955.0441854161,14767.785036273419,0.8850378594280248,16.899824548504192,0.0029121990435645928,0.06393602677210311
21,1357.6624067784544,1354.691646103493,,,,,,,,,,
22,1354.691646103493,1361.9592039333204,1.74,1.595e+08,0.46,0.78,348132.07857122045,11843.985246289461,0.8339251229118497,18.323509645609825,0.002182718533598381,0.06804305592807607
23,1361.9592039333204,1359.575004963401,,,,,,,,,,
24,1359.575004963401,1366.4404737320442,1.44,1.669e+08,0.51,0.80,232372.44989066018,4949.183327714106,0.8358788063904893,32.83373137513843,0.00139238483797986,0.04259698884306534
25,1366.4404737320442,1363.2408615205527,,,,,,,,,,
26,1363.2408615205527,1369.0368027717564,1.54,1.668e+08,0.49,0.80,198569.14866794675,4508.36057646972,0.8671706711558325,32.022940055133894,0.001190671674130607,0.04540846961084308
27,1369.0368027717564,1366.3476235883143,,,,,,,,,,
28,1366.3476235883143,1374.0106016418151,1.65,1.802e+08,0.47,0.79,182388.7421038565,3489.465921515101,0.8669281563945972,57.616501647733855,0.0010121466393062774,0.03826404942831522
29,1374.0106016418151,1371.3966636892578,,,,,,,,,,
30,1371.3966636892578,1377.197250549197,1.75,1.775e+08,0.46,0.78,154256.73466220335,3209.2909016587696,0.8672835108049116,49.45341138216624,0.000869296496472006,0.04160973468920607
