id,in_temperature,out_temperature,roll_gap_ratio,deformation_resistance,lever_arm_coefficient,rolling_efficiency,roll_force,roll_torque,filling_ratio,strain_rate,contact_area,contact_length
0,1373.15,1370.3404820871742,0.78,1.012e+08,0.64,0.76,1722739.8704386759,88416.268081199,0.9259621053621604,0.6391301005605455,0.017017977927097833,0.10264610414883452
1,1370.3404820871742,1364.5946213590864,,,,,,,,,,
2,1364.5946213590864,1363.5866009367487,0.80,1.061e+08,0.64,0.76,1439338.293397308,77166.85675832763,0.9688429425314656,0.7865357142808876,0.013567441600896872,0.1072254620228142
3,1363.5866009367487,1358.8508184082102,,,,,,,,,,
4,1358.8508184082102,1358.4960203474604,1.06,1.081e+08,0.57,0.80,1497167.8093628404,77500.36866099558,0.9533561329136271,1.20287306574939,0.013849939045719083,0.10352930135998305
5,1358.4960203474604,1354.7369383207342,,,,,,,,,,
6,1354.7369383207342,1355.3898093686269,0.89,1.146e+08,0.62,0.78,1046084.4255921172,47566.73468000355,0.9117260077023418,1.3394224679878097,0.009126107127092496,0.09094243928367303
7,1355.3898093686269,1351.883234364958,,,,,,,,,,
8,1351.883234364958,1354.6721626402823,1.15,1.191e+08,0.56,0.81,1072046.71987773,50844.658292730484,1.0161937283088682,2.397287431109358,0.009004286952116443,0.09485530313180655
9,1354.6721626402823,1351.506160031729,,,,,,,,,,
10,1351.506160031729,1353.0141466626642,1.14,1.186e+08,0.56,0.80,831214.8170837512,39094.74841870165,0.9057905690734038,2.0573276762771524,0.007008585764090491,0.0940665339818228
11,1353.0141466626642,1349.47261865662,,,,,,,,,,
12,1349.47261865662,1353.4593253522944,1.18,1.297e+08,0.55,0.81,736008.8349902713,28292.504972115858,1.0101607795970622,4.271976150404208,0.005673754076387723,0.07688088410647906
13,1353.4593253522944,1350.2090411991178,,,,,,,,,,
14,1350.2090411991178,1353.2795122597727,1.46,1.301e+08,0.50,0.80,720266.4368071333,31012.897586652263,1.023571446177663,4.023411275052205,0.0055377191418782895,0.08611507076222859
15,1353.2795122597727,1344.881767942981,,,,,,,,,,
16,1344.881767942981,1350.6402158680212,1.62,1.441e+08,0.48,0.79,676810.587661488,26211.600943404963,0.968596000663901,7.720619448039196,0.004697977335943078,0.07745623789359186
17,1350.6402158680212,1346.732063479471,,,,,,,,,,
18,1346.732063479471,1350.5357144002853,1.66,1.431e+08,0.47,0.79,542802.4138222015,21106.693741380812,1.0294578195892465,6.677893393475454,0.003793544233460543,0.07776934370190346
19,1350.5357144002853,1347.2774545787802,,,,,,,,,,
20,1347.2774545787802,1354.6822178841778,2.13,1.645e+08,0.42,0.74,617024.5800680389,23008.106703510854,1.0022629694831915,13.663110115176243,0.00375195599721919,0.07457760175769258
21,1354.6822178841778,1351.7790980141197,,,,,,,,,,
22,1351.7790980141197,1358.7276811477632,2.18,1.667e+08,0.42,0.73,486036.619684669,19164.750804676514,1.0685717928499405,14.980812221416258,0.002915447558161164,0.0788613451270821
23,1358.7276811477632,1356.3790280277392,,,,,,,,,,
24,1356.3790280277392,1363.1486961786547,2.10,1.736e+08,0.42,0.74,379250.439746309,11131.237474914526,0.9854038786037891,23.482959090086084,0.0021851486150316793,0.058701250194254304
25,1363.1486961786547,1360.0008726100466,,,,,,,,,,
26,1360.0008726100466,1366.180359992644,2.04,1.738e+08,0.43,0.75,294845.38018273347,8480.006774946483,1.0720360682000234,26.39766737062704,0.0016963231728731678,0.057521720501036246
27,1366.180359992644,1363.532041968704,,,,,,,,,,
28,1363.532041968704,1371.4531693893575,2.33,1.916e+08,0.40,0.72,294050.5063712199,7472.57416999324,1.0238414335046324,43.03281577117418,0.0015344169217939778,0.05082510662681597
29,1371.4531693893575,1368.8404259896356,,,,,,,,,,
30,1368.8404259896356,1374.6585549795811,2.33,1.872e+08,0.40,0.72,233672.1398373509,6164.562563100046,1.0847521757779037,37.87319536481264,0.001248184975542955,0.05276249507015198
