id,in_temperature,out_temperature,lever_arm_coefficient_sims,roll_torque_general,roll_force,roll_torque,filling_ratio,strain_rate,contact_area,contact_length
0,1373.15,1369.0864800732586,0.56,80218.43,1401303.003172925,86222.06769919467,0.9397086073741325,0.6196516742375654,0.01713690232644046,0.1025811922121869
1,1369.0864800732586,1363.3967772055466,,,,,,,,
2,1363.3967772055466,1361.1894854710338,0.56,71948.41,1165128.7646574993,75020.5538222335,0.9776715776171989,0.7819888645237455,0.013986135888592887,0.10998006065123328
3,1361.1894854710338,1356.4889199882664,,,,,,,,
4,1356.4889199882664,1355.024058672306,0.53,69215.55,1244709.9418824832,76557.05312509982,0.9576284076335634,1.190408981639438,0.014078297458077612,0.10498270316166254
5,1355.024058672306,1351.3057157349538,,,,,,,,
6,1351.3057157349538,1350.8882908064825,0.54,46641.26,941674.4190566993,54243.44057461671,0.927051873484121,1.3060495118515298,0.009284860048406587,0.09175153620931914
7,1350.8882908064825,1347.4343079302541,,,,,,,,
8,1347.4343079302541,1349.2117317823268,0.51,48932.50,980932.3332879974,53539.39771562215,0.9993611200716568,2.424621282006267,0.009083479735727176,0.09687104049700743
9,1349.2117317823268,1346.0967897941289,,,,,,,,
10,1346.0967897941289,1346.9889504677355,0.54,31185.73,634311.46259142,33755.11468488853,0.8880096360420485,2.1497523380874863,0.006753531975861007,0.09164581544795943
11,1346.9889504677355,1343.4843039738812,,,,,,,,
12,1343.4843039738812,1346.3772612541977,0.49,26760.14,727499.8415602153,33124.06590638225,0.9953332079232312,4.334130374953102,0.005436678480493054,0.07445037340683779
13,1346.3772612541977,1343.194396159697,,,,,,,,
14,1343.194396159697,1345.515444805479,0.51,21989.79,513202.4861308648,25524.21410106497,0.9768141283308652,4.200287871059368,0.0052766964510931585,0.08415926445548871
15,1345.515444805479,1337.3362453003633,,,,,,,,
16,1337.3362453003633,1342.1081247130094,0.48,19699.69,561244.8673630141,23965.924463212876,0.9169457972590971,8.474321386407363,0.004252614457583324,0.07320206077492476
17,1342.1081247130094,1338.2906282170575,,,,,,,,
18,1338.2906282170575,1341.1631661476563,0.50,13259.07,365040.75672076247,15463.426175501829,0.9592872275086182,7.0526809588776915,0.0033837583922178985,0.07213007193018627
19,1341.1631661476563,1337.9994922813196,,,,,,,,
20,1337.9994922813196,1343.7654226649627,0.45,15887.51,512560.79271335393,20619.316445302044,0.9372474922281344,15.214239832516188,0.0032996817712383528,0.06921837007336397
21,1343.7654226649627,1340.9392782535967,,,,,,,,
22,1340.9392782535967,1345.9830127588302,0.48,12034.99,346437.3069366683,14505.997910903965,0.9592104527304115,15.822594751156657,0.0025345804060838296,0.07301290493287228
23,1345.9830127588302,1343.7672521847344,,,,,,,,
24,1343.7672521847344,1349.4442818096281,0.45,6619.56,282843.7731939966,8874.053476742629,0.9032609187088221,28.268669499166762,0.0018022880988874306,0.05187077994763407
25,1349.4442818096281,1346.4189879670905,,,,,,,,
26,1346.4189879670905,1350.9263894701357,0.48,4822.52,198173.26093859534,6138.838800972475,0.972513919017006,28.01380606682944,0.0014289112532539134,0.051187140199448526
27,1350.9263894701357,1348.4292900275004,,,,,,,,
28,1348.4292900275004,1354.5594068840933,0.43,4457.62,229559.43354379074,6539.490904023302,0.9431244673222513,49.51774110932086,0.0012777279867112361,0.04519777054127723
29,1354.5594068840933,1352.0976164873005,,,,,,,,
30,1352.0976164873005,1356.3974073066756,0.46,3246.25,150839.19994339294,4434.673264930679,0.9802694321027625,41.6387781464754,0.001056526045845719,0.04729176186650285
