id,measure1,measure2,wicon,hensel_power_and_labour/hill_spreading,hensel_power_and_labour/wusatowski_spreading,hensel_power_and_labour/sander_spreading,sims_power_and_labour/hill_spreading,sims_power_and_labour/wusatowski_spreading,sims_power_and_labour/sander_spreading
0,1064.0,1023.0,1100.0,1097.1404763336564,1097.212564011054,1097.0090037442942,1096.038342427587,1096.0945231636056,1095.9364800732587
1,,,,1091.4061368844486,1091.4615435573646,1091.3037515435053,1090.3201691017225,1090.3598414718217,1090.2467772055466
2,991.0,1005.0,1075.0,1090.6498285939797,1090.59082215244,1090.2030569752446,1088.3912727886213,1088.3457599842768,1088.039485471034
3,,,,1085.8826395917504,1085.8389419043065,1085.4761749517006,1083.651802509608,1083.6212986312426,1083.3389199882663
4,1018.0,1020.0,1056.0,1085.8833600658381,1085.7405929821434,1085.042052420206,1082.575696719517,1082.455759370312,1081.874058672306
5,,,,1082.0859540859192,1081.952838391148,1081.2912597795003,1078.8126518485547,1078.7019626778124,1078.155715734954
6,1017.0,1020.0,1040.0,1083.0910980376052,1082.7316143677222,1081.7946357759988,1078.7973022886626,1078.5085509539695,1077.7382908064824
7,,,,1079.545996210515,1079.2107601413368,1078.3040345259255,1075.2915625972237,1075.0261228737158,1074.2843079302538
8,1003.0,1000.0,1027.0,1082.5549168778552,1082.2960759319285,1081.2769751167507,1077.1204117404036,1076.9119715655784,1076.0617317823267
9,,,,1079.3865957542762,1079.1301712612722,1078.119389250896,1073.9966154400558,1073.7901474065238,1072.946789794129
10,993.0,1015.0,1021.0,1081.8805798934968,1081.1243208026176,1079.82881114993,1075.5394474121263,1074.9235077883327,1073.8389504677357
11,,,,1078.2166685516877,1077.5200941700377,1076.2691428956568,1071.9354999482034,1071.3769120865463,1070.334303973881
12,985.0,995.0,1025.0,1082.087589477676,1081.5583740896996,1080.263772952936,1074.714745363823,1074.3064816113397,1073.2272612541974
13,,,,1078.8312014222402,1078.3101309203375,1077.0219440465617,1071.520338657067,1071.1190708685012,1070.044396159697
14,1005.0,1000.0,1011.0,1082.5096258362291,1081.6831138805296,1080.301871315065,1074.2227764674926,1073.5516100150153,1072.365444805479
15,,,,1074.0361708857804,1073.2899821740116,1071.9524371174443,1065.929300579161,1065.3334558843067,1064.1862453003632
16,998.0,999.0,1004.0,1080.427128694284,1079.6734130605682,1078.1338762687037,1070.961502145578,1070.3198552263552,1068.9581247130095
17,,,,1076.479572365109,1075.740871485406,1074.223827059186,1067.1102099230166,1066.482112019934,1065.1406282170578
18,998.0,985.0,1005.0,1080.7307588727813,1079.547430343524,1078.0176426960074,1070.4204846389994,1069.4005173120922,1068.0131661476566
19,,,,1077.3892220483626,1076.2674972686468,1074.7702312636998,1067.1676152361656,1066.2062411891943,1064.8494922813197
20,987.0,985.0,1005.0,1085.3964914577168,1084.1849481285121,1082.435129671443,1073.4486876409733,1072.2829694003844,1070.6154226649628
21,,,,1082.405426563259,1081.2282011414145,1079.5150234703056,1070.5547814778738,1069.4219595042177,1067.7892782535969
22,1003.0,1005.0,1012.0,1089.542707010562,1087.6359461987722,1086.18603277596,1076.1949303677025,1074.3565401917667,1072.8330127588301
23,,,,1087.1365062932755,1085.3155546289804,1083.886948307223,1073.8757228680133,1072.119689536893,1070.6172521847343
24,998.0,1015.0,1020.0,1093.9083656929465,1092.7078548738396,1091.0979781219448,1079.4334980462058,1078.0449908256542,1076.294281809628
25,,,,1090.6970166939627,1089.5309041661608,1087.946757067456,1076.3475161556744,1074.9937089261725,1073.2689879670902
26,978.0,1015.0,1028.0,1096.4319131188322,1095.0356036616768,1093.6463244011074,1081.0316317932743,1079.4138745450337,1077.7763894701357
27,,,,1093.7296550404567,1092.4008101436061,1091.0377037274625,1078.441348815888,1076.8898480974094,1075.2792900275003
28,1020.0,1048.0,1031.0,1101.4278907724402,1100.419243612017,1098.955853121688,1084.7115617373147,1083.2404061225807,1081.4094068840932
29,,,,1098.8056120380388,1097.8196275375412,1096.372540076774,1082.206760646994,1080.7604721836387,1078.9476164873004
30,1021.0,1050.0,1040.0,1104.5749792763331,1103.2081796910538,1101.9545004945421,1086.8642753756003,1085.0054685702185,1083.2474073066755
