id,measure1,measure2,wicon  ,base/base/base    ,base/base/lendl_equivalent_method,base/hill_spreading/base,base/hill_spreading/lendl_equivalent_method,base/wusatowski_spreading/base,base/wusatowski_spreading/lendl_equivalent_method,hensel_power_and_labour/base/base,hensel_power_and_labour/base/lendl_equivalent_method,hensel_power_and_labour/hill_spreading/base,hensel_power_and_labour/hill_spreading/lendl_equivalent_method,hensel_power_and_labour/wusatowski_spreading/base,hensel_power_and_labour/wusatowski_spreading/lendl_equivalent_method,sims_power_and_labour/base/base,sims_power_and_labour/base/lendl_equivalent_method,sims_power_and_labour/hill_spreading/base,sims_power_and_labour/hill_spreading/lendl_equivalent_method,sims_power_and_labour/wusatowski_spreading/base,sims_power_and_labour/wusatowski_spreading/lendl_equivalent_method
0 ,74698.5 ,72880.0 ,66000.0,67221.06032295495 ,67184.27997528538                ,67199.05107108207       ,67140.78156241789                          ,67060.58602244085             ,67008.00888605985                                ,88602.18466617056                ,88558.96032905563                                   ,88577.95006162362                          ,88508.31603353625                                             ,88416.268081199                                  ,88351.31801421946                                                   ,86563.12223719488              ,85823.24227585655                                 ,86479.94503739243                        ,85741.91190310092                                           ,86003.20145375206                              ,85492.37504481581
1 ,        ,        ,       ,                  ,                                 ,                        ,                                           ,                              ,                                                 ,                                 ,                                                    ,                                           ,                                                              ,                                                 ,                                                                    ,                               ,                                                  ,                                         ,                                                            ,                                               ,
2 ,66770.0 ,66823.0 ,57500.0,60623.89254895078 ,60039.87033625895                ,59981.37800431428       ,59281.65318102734                          ,59072.671987230045            ,58363.93382328296                                ,78959.32399831414                ,78309.26400189227                                   ,78254.50458612746                          ,77458.94434574612                                             ,77166.85675832763                                ,76374.56124335823                                                   ,77353.64547504357              ,72989.91417563087                                 ,75843.5918801843                         ,72127.99904441953                                           ,76113.75087816596                              ,71862.65762942955
3 ,        ,        ,       ,                  ,                                 ,                        ,                                           ,                              ,                                                 ,                                 ,                                                    ,                                           ,                                                              ,                                                 ,                                                                    ,                               ,                                                  ,                                         ,                                                            ,                                               ,
4 ,65809.5 ,64853.0 ,60500.0,61970.13472796514 ,59382.51962194112                ,59060.92030294922       ,56756.02092291347                          ,62547.09522316251             ,59096.71663563733                                ,76786.54005560641                ,73730.92126363101                                   ,73370.59730407897                          ,70656.43721924927                                             ,77500.36866099558                                ,73423.46304035437                                                   ,75420.9003139579               ,73560.62090922338                                 ,74022.69692641417                        ,72955.21872159008                                           ,76988.01645008122                              ,73977.06174409881
5 ,        ,        ,       ,                  ,                                 ,                        ,                                           ,                              ,                                                 ,                                 ,                                                    ,                                           ,                                                              ,                                                 ,                                                                    ,                               ,                                                  ,                                         ,                                                            ,                                               ,
6 ,38580.0 ,38053.5 ,42600.0,33594.314307532964,31715.756592019807               ,34761.97535533258       ,33337.50961392501                          ,37506.50857060322             ,34388.87716754849                                ,43036.76386349444                ,40855.40434683258                                   ,44401.74815667434                          ,42738.78942494547                                             ,47566.73468000355                                ,43951.328186099614                                                  ,45254.37930614837              ,49592.64111333106                                 ,45583.89598437868                        ,50507.67472941607                                           ,49129.14478276083                              ,51536.84793571696
7 ,        ,        ,       ,                  ,                                 ,                        ,                                           ,                              ,                                                 ,                                 ,                                                    ,                                           ,                                                              ,                                                 ,                                                                    ,                               ,                                                  ,                                         ,                                                            ,                                               ,
8 ,46459.0 ,44768.5 ,46150.0,37975.75258125243 ,37022.32892241821                ,37389.37036584167       ,37007.38911973177                          ,41528.288003772366            ,39195.3164943222                                 ,46625.31686626345                ,45504.61770071752                                   ,45911.46654338308                          ,45471.435939427865                                            ,50844.65829273048                                ,48075.97865194737                                                   ,50283.6729349926               ,49831.84258698769                                 ,50578.11867749525                        ,50206.12590018379                                           ,54383.959758225246                             ,51401.73627547915
9 ,        ,        ,       ,                  ,                                 ,                        ,                                           ,                              ,                                                 ,                                 ,                                                    ,                                           ,                                                              ,                                                 ,                                                                    ,                               ,                                                  ,                                         ,                                                            ,                                               ,
10,27127.0 ,26785.5 ,27450.0,27035.07820458597 ,25386.658347884404               ,29341.55693199509       ,27429.39388449853                          ,31987.458068073083            ,27869.95682524777                                ,33242.34473842755                ,31314.817022824835                                  ,35951.49117533667                          ,33701.723127899386                                            ,39094.74841870165                                ,34227.70611456573                                                   ,31195.89111870028              ,31295.16680878988                                 ,32208.93908016576                        ,31965.73137234883                                           ,35259.80098279467                              ,32591.557133671096
11,        ,        ,       ,                  ,                                 ,                        ,                                           ,                              ,                                                 ,                                 ,                                                    ,                                           ,                                                              ,                                                 ,                                                                    ,                               ,                                                  ,                                         ,                                                            ,                                               ,
12,24972.0 ,24374.5 ,26400.0,18606.08721185944 ,17027.161288983814               ,17650.91923676829       ,16465.29534481486                          ,23228.754409405166            ,19196.01836434508                                ,22834.30227251701                ,20996.77687041329                                   ,21715.91557395064                          ,20338.6272910568                                              ,28292.504972115858                               ,23522.232681658446                                                  ,28918.808234760872             ,29373.393991656743                                ,28377.142201688985                       ,29054.70975341376                                           ,34395.506919118445                             ,31245.579641263368
13,        ,        ,       ,                  ,                                 ,                        ,                                           ,                              ,                                                 ,                                 ,                                                    ,                                           ,                                                              ,                                                 ,                                                                    ,                               ,                                                  ,                                         ,                                                            ,                                               ,
14,18608.0 ,18675.5 ,19500.0,20043.108615537265,19034.72693996088                ,21176.67921075415       ,20238.16174732721                          ,25321.24397789801             ,21493.91253045337                                ,24290.613789942778               ,23055.2028208908                                    ,25684.57344982912                          ,24523.426759566315                                            ,31012.897586652263                               ,26087.808604031132                                                  ,23393.56508680322              ,23043.92710302898                                 ,24022.91649065172                        ,23550.00177324062                                           ,28460.189169189303                             ,24434.900633290603
